site_id (provided geohash), actual geohash, lat, lon
gcm9265z20w4, gcm923syh0ww, 52.26025, -3.497935
gcvjk5yudhyg, gcvjk5uu55z3, 55.787908, -4.036307
gcmyw3c7h0px, gcmyw3c7h20j, 53.183957, -2.887505
gcqd7tf0strm, gcqd7tf0strf, 52.458458, -1.952616
gcq5cdembtf8, gcqh1bexgc5h, 52.738458, -2.730624
gcw2mtw4v991, gcw2mtkf1g2u, 53.510646, -2.212639
gcq3tt0pr9f9, gcq3tjnn61gq, 52.323471, -2.232881
gcxph7ytxww5, gcxph7yv8xw5, 54.689553, -1.210183
gcp6xk1pwb22, gcp6xk62sr0e, 51.087923, -0.732811
gcpy6z1uk9hb, gcpy6z4q0pmz, 51.763155, -0.227615
gcrh7chm41q3, gcrh779euxqm, 52.79823, -1.261166
gcp32gjrtws3, gcp3359bqwc3, 50.864032, -1.008058
gcp31eusr1ut, gcp31euutndy, 50.822189, -0.982028
gcqx8h2eq6q0, gcqx8h26gp6h, 53.373467, -2.1089
gcpmzg43fy21, gcpmzfcnmvut, 51.651953, -0.712485
gcvmgf8w23h1, gcvmgdx6wgh7, 55.868671, -3.703127
gcrn9s8rf52y, gcrn9kzwh62c, 53.200963, -1.340835
gcpsyn344h58, gcpsvye4hsk4, 51.496033, -0.446121
gcpsubr28zgm, gcpsv01pq4gk, 51.461221, -0.481763
gcpwtbut6km9, gcpwtbut6knp, 51.772622, -0.444155
gcq04n9u37v6, gcq04n9s3b83, 52.067688, -2.722474
gcq0453snztq, gcq0455pnvrk, 52.04896, -2.72019
gcx9xy64rwej, gcx9xy64rwek, 53.735926, -0.359476
gcx9xmzu77vt, gcx9xtbh24w4, 53.733501, -0.373527
gcpszt1twvw4, gcpszt1mpyd0, 51.48832, -0.371483
gcy8b2sdrwd8, gcy8b2sempyb, 54.978932, -2.091985
gcw2vdpyn7hh, gcw2vdpypbwq, 53.581356, -2.208254
gcjgkkeqkf9d, gcjgkkeq6j8x, 51.222112, -2.972745
gcw9s6k506yg, gcw9s6kd7bg3, 53.713922, -1.916262
gcptjudvq7y9, gcptjudvq7z1, 51.529547, -0.446385
gcr4bywxqc3w, gcr4byxxsky8, 52.551667, -1.3628
gcqdr7kdqqrx, gcqdr7k72h5w, 52.445191, -1.78493
gcp7rmrkzhvv, gcp7rmrkz7w7, 51.225963, -0.725808
gcqmtn3t0jf1, gcqmtn364bdm, 53.032726, -2.239373
gcw6jr9fs083, gcw6jr9ehhy9, 53.830802, -2.227984
gcqq9vhc2r87, gcqq9vpb3shk, 53.201359, -2.37332
